Loading assemblies from: C:\Users\Tal\AppData\Local\Apps\2.0\X5MLETMC.WLM\5NNM9X0W.CBM\mtgo..tion_a7d96b15d2cce030_0003.0004_b5d581d94d59763e
opcode	type
97	WotC.MTGO.Common.Message.FlsNetDeckCreateRespMessage
98	WotC.MTGO.Common.Message.AdmAuditLogRespMessage
99	WotC.MTGO.Common.Message.DosAuditLogReqMessage
100	WotC.MTGO.Common.Message.DosAuditLogRespMessage
101	WotC.MTGO.Common.Message.AdmAuditReimbursementReqMessage
102	WotC.MTGO.Common.Message.FlsMatchDeckGetRespMessage
103	WotC.MTGO.Common.Message.FlsNetDeckUpdateRespMessage
104	WotC.MTGO.Common.Message.FlsPlayerChannelListReqMessage
105	WotC.MTGO.Common.Message.FlsPlayerChannelListMessage
106	WotC.MTGO.Common.Message.AdmAuditReimbursementRespMessage
107	WotC.MTGO.Common.Message.FlsMatchCreateFailureMessage
108	WotC.MTGO.Common.Message.FlsMatchConcededMessage
109	WotC.MTGO.Common.Message.DosPileDraftStateMessage
110	WotC.MTGO.Common.Message.DosAuditReimbursementReqMessage
111	WotC.MTGO.Common.Message.FlsMatchHostStartMessage
112	WotC.MTGO.Common.Message.TradeInvitationReqMessage
113	WotC.MTGO.Common.Message.TradeInvitationAcceptMessage
114	WotC.MTGO.Common.Message.TradeInvitationDeclineMessage
115	WotC.MTGO.Common.Message.TradeInvitationCanceledMessage
116	WotC.MTGO.Common.Message.TradeInvitationExpiredMessage
117	WotC.MTGO.Common.Message.TradeItemUpdateMessage
118	WotC.MTGO.Common.Message.FlsMatchChallengeRequestMessage
119	WotC.MTGO.Common.Message.FlsEscrowTradeCollectionMessage
120	WotC.MTGO.Common.Message.FlsMatchDeclineChallengeMessage
121	WotC.MTGO.Common.Message.FlsMatchRetractChallengeMessage
122	WotC.MTGO.Common.Message.FlsPileDraftStateMessage
123	WotC.MTGO.Common.Message.FlsMatchChallengeAcceptedMessage
124	WotC.MTGO.Common.Message.FlsMatchChallengeDeclinedMessage
125	WotC.MTGO.Common.Message.FlsMatchChallengeFailureMessage
126	WotC.MTGO.Common.Message.TradeDeclineTradeInProgressMessage
127	WotC.MTGO.Common.Message.FlsCollectionItemsPermissionsUpdateRespMessage
128	WotC.MTGO.Common.Message.FlsPromocodeHistoryReqMessage
129	WotC.MTGO.Common.Message.FlsPromocodeHistoryRespMessage
130	WotC.MTGO.Common.Message.DosAuditReimbursementRespMessage
131	WotC.MTGO.Common.Message.DosAuditAggregateUpdateFafMessage
132	WotC.MTGO.Common.Message.FlsTradeCollectionUpdateReqMessage
133	WotC.MTGO.Common.Message.FlsTradeCollectionUpdateRespMessage
134	WotC.MTGO.Common.Message.AdmAuditAggregateUpdateFafMessage
135	WotC.MTGO.Common.Message.FlsLoginQuestionReqMessage
136	WotC.MTGO.Common.Message.FlsLoginQuestionRespMessage
137	WotC.MTGO.Common.Message.FlsLoginQuestionFailureRespMessage
138	WotC.MTGO.Common.Message.FlsUserOfficialEmailReqMessage
139	WotC.MTGO.Common.Message.FlsUserOfficialEmailRespMessage
140	WotC.MTGO.Common.Message.FlsUserOfficialEmailErrorMessage
141	WotC.MTGO.Common.Message.AdmTournamentQueueCreateRespMessage
142	WotC.MTGO.Common.Message.DosTournamentQueueCreateRespMessage
143	WotC.MTGO.Common.Message.AdmGshRollingRestartReqMessage
144	WotC.MTGO.Common.Message.ChangeLoginProfileTypeReqMessage
145	WotC.MTGO.Common.Message.LoginProfileTypeChangeRespMessage
146	WotC.MTGO.Common.Message.LoginProfileTypeChangeFailureRespMessage
147	WotC.MTGO.Common.Message.FlsMatchMessageInvalidForStateMessage
148	WotC.MTGO.Common.Message.FlsUserUpdatePrivateInfoRespMessage
149	WotC.MTGO.Common.Message.FlsUserUpdatedPrivateInfoMessage
150	WotC.MTGO.Common.Message.FlsUserUpdateEligibilityAndOptInsReqMessage
151	WotC.MTGO.Common.Message.FlsUserUpdateEligibilityAndOptInsRespMessage
152	WotC.MTGO.Common.Message.FlsPileDraftPlayerStateMessage
153	WotC.MTGO.Common.Message.FlsPileDraftPendingDivisionMessage
154	WotC.MTGO.Common.Message.DosTournamentQualifyListReqMessage
155	WotC.MTGO.Common.Message.DosTournamentQualifyListRespMessage
156	WotC.MTGO.Common.Message.AdmGshRollingRestartRespMessage
157	WotC.MTGO.Common.Message.UserDisciplineByNameReqMessage
158	WotC.MTGO.Common.Message.UserDisciplineByNameRespMessage
159	WotC.MTGO.Common.Message.UserDisciplineByNameFailureRespMessage
160	WotC.MTGO.Common.Message.DosGshRollingRestartReqMessage
161	WotC.MTGO.Common.Message.DosGshRollingRestartRespMessage
162	WotC.MTGO.Common.Message.AdmGshRollingRestartCancelReqMessage
163	WotC.MTGO.Common.Message.FlsEscrowBoxSubmitMessage
164	WotC.MTGO.Common.Message.FlsEscrowUnboxSubmitMessage
165	WotC.MTGO.Common.Message.AdmGshRollingRestartCancelRespMessage
166	WotC.MTGO.Common.Message.DosEscrowEcomVerifyMessage
167	WotC.MTGO.Common.Message.DosEscrowEcomErrorMessage
168	WotC.MTGO.Common.Message.DosEscrowEcomCompleteMessage
169	WotC.MTGO.Common.Message.DosEscrowEcomIncompleteMessage
170	WotC.MTGO.Common.Message.DosEscrowParticipantAcceptRespMessage
171	WotC.MTGO.Common.Message.DosPromocodeHistoryReqMessage
172	WotC.MTGO.Common.Message.DosPromocodeHistoryRespMessage
173	WotC.MTGO.Common.Message.DosGshRollingRestartCancelReqMessage
174	WotC.MTGO.Common.Message.DosGshRollingRestartCancelRespMessage
175	WotC.MTGO.Common.Message.AdmGshRollingRestartInfoReqMessage
176	WotC.MTGO.Common.Message.AdmGshRollingRestartInfoRespMessage
177	WotC.MTGO.Common.Message.FlsPlayerEventChangePlayerOrderFailureMessage
178	WotC.MTGO.Common.Message.FlsPlayerEventNewPlayerOrderMessage
179	WotC.MTGO.Common.Message.DosGshRollingRestartInfoReqMessage
180	WotC.MTGO.Common.Message.DosPlayerEventChangePlayerOrderFailureMessage
181	WotC.MTGO.Common.Message.DosPlayerEventNewPlayerOrderMessage
182	WotC.MTGO.Common.Message.FlsEscrowVerifyMessage
183	WotC.MTGO.Common.Message.DosGshRollingRestartInfoRespMessage
184	WotC.MTGO.Common.Message.GshRollingRestartReqMessage
185	WotC.MTGO.Common.Message.FlsEscrowDepositlistUpdateRespMessage
186	WotC.MTGO.Common.Message.FlsEscrowDepositlistClearRespMessage
187	WotC.MTGO.Common.Message.FlsEscrowDepositlistTooLargeMessage
188	WotC.MTGO.Common.Message.FlsEscrowInsufficientQuantityMessage
189	WotC.MTGO.Common.Message.FlsEscrowFinalListMessage
190	WotC.MTGO.Common.Message.FlsEscrowFinalApproveRespMessage
191	WotC.MTGO.Common.Message.FlsEscrowProcessingMessage
192	WotC.MTGO.Common.Message.GshRollingRestartRespMessage
193	WotC.MTGO.Common.Message.FlsEscrowInvalidStateMessage
194	WotC.MTGO.Common.Message.FlsEscrowDepositlistUpdateReqMessage
195	WotC.MTGO.Common.Message.FlsEscrowFinalApproveReqMessage
196	WotC.MTGO.Common.Message.FlsEscrowDepositlistClearReqMessage
197	WotC.MTGO.Common.Message.DosTournamentLoginReconnectInternalFafMessage
198	WotC.MTGO.Common.Message.AdmGetMaxUsersReqMessage
199	WotC.MTGO.Common.Message.AdmSetMaxUsersReqMessage
200	WotC.MTGO.Common.Message.FlsCollationListGetReqMessage
201	WotC.MTGO.Common.Message.DosCollationListGetReqMessage
202	WotC.MTGO.Common.Message.DosCollationListGetRespMessage
203	WotC.MTGO.Common.Message.FlsCollationListGetRespMessage
204	WotC.MTGO.Common.Message.FlsCollationGetReqMessage
205	WotC.MTGO.Common.Message.DosCollationGetReqMessage
206	WotC.MTGO.Common.Message.FlsTournamentQueueEndReqMessage
207	WotC.MTGO.Common.Message.FlsTournamentEndReqMessage
208	WotC.MTGO.Common.Message.FlsTournamentEndRespMessage
209	WotC.MTGO.Common.Message.DosCollationGetRespMessage
210	WotC.MTGO.Common.Message.AdmGetMaxUsersRespMessage
211	WotC.MTGO.Common.Message.DosQueueFiredMessage
212	WotC.MTGO.Common.Message.DosTournamentDisciplineRemoveReqMessage
213	WotC.MTGO.Common.Message.DosTournamentDisciplineRemoveRespMessage
214	WotC.MTGO.Common.Message.FlsTournamentDisciplineRemoveReqMessage
215	WotC.MTGO.Common.Message.FlsTournamentDisciplineRemoveRespMessage
216	WotC.MTGO.Common.Message.FlsCollationGetRespMessage
217	WotC.MTGO.Common.Message.FlsCollationSetReqMessage
218	WotC.MTGO.Common.Message.FlsEntryFeeCreateReqMessage
219	WotC.MTGO.Common.Message.FlsEntryFeeCreateRespMessage
220	WotC.MTGO.Common.Message.FlsEntryFeeUpdateReqMessage
221	WotC.MTGO.Common.Message.FlsEntryFeeUpdateRespMessage
222	WotC.MTGO.Common.Message.FlsEntryFeeInfoReqMessage
223	WotC.MTGO.Common.Message.FlsEntryFeeInfoRespMessage
224	WotC.MTGO.Common.Message.FlsEntryFeeExpireReqMessage
225	WotC.MTGO.Common.Message.FlsEntryFeeExpireRespMessage
226	WotC.MTGO.Common.Message.DosCollationSetReqMessage
227	WotC.MTGO.Common.Message.DosCollationSetRespMessage
228	WotC.MTGO.Common.Message.FlsEntryFeeSuiteCreateReqMessage
229	WotC.MTGO.Common.Message.FlsEntryFeeSuiteCreateRespMessage
230	WotC.MTGO.Common.Message.FlsEntryFeeSuiteUpdateReqMessage
231	WotC.MTGO.Common.Message.FlsEntryFeeSuiteUpdateRespMessage
232	WotC.MTGO.Common.Message.FlsEntryFeeSuiteExpireReqMessage
233	WotC.MTGO.Common.Message.FlsEntryFeeSuiteExpireRespMessage
234	WotC.MTGO.Common.Message.FlsCollationSetRespMessage
235	WotC.MTGO.Common.Message.FlsCollationCatalogMapSetReqMessage
236	WotC.MTGO.Common.Message.AdmSystemConfigurationGetReqMessage
237	WotC.MTGO.Common.Message.AdmSystemConfigurationGetRespMessage
238	WotC.MTGO.Common.Message.AdmSystemConfigurationUpdateReqMessage
239	WotC.MTGO.Common.Message.AdmSystemConfigurationUpdateRespMessage
240	WotC.MTGO.Common.Message.FlsReferralCreateReqMessage
241	WotC.MTGO.Common.Message.FlsReferralCreateRespMessage
242	WotC.MTGO.Common.Message.FlsReferralCancelReqMessage
243	WotC.MTGO.Common.Message.FlsReferralCancelRespMessage
244	WotC.MTGO.Common.Message.FlsReferralListReqMessage
245	WotC.MTGO.Common.Message.FlsReferralListRespMessage
246	WotC.MTGO.Common.Message.DosCollationCatalogMapSetReqMessage
247	WotC.MTGO.Common.Message.DosCollationCatalogMapSetRespMessage
248	WotC.MTGO.Common.Message.FlsCollationCatalogMapSetRespMessage
253	WotC.MTGO.Common.Message.NacsSessionCreateReqMessage
254	WotC.MTGO.Common.Message.NacsSessionCreateRespMessage
255	WotC.MTGO.Common.Message.NacsPasswordResetBeginReqMessage
256	WotC.MTGO.Common.Message.NacsPasswordResetBeginRespMessage
257	WotC.MTGO.Common.Message.NacsPasswordResetAnswerReqMessage
258	WotC.MTGO.Common.Message.NacsPasswordResetAnswerRespMessage
259	WotC.MTGO.Common.Message.NacsPasswordResetSetPasswordReqMessage
260	WotC.MTGO.Common.Message.FlsReferralCampaignCreateReqMessage
